"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103"
"2019-02-04",42.63,42.95,42.54,42.85,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-05",43.03,43.46,42.96,43.41,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-06",43.22,43.25,42.74,42.84,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-07",42.49,42.71,42.03,42.42,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-08",42.09,42.23,41.84,42.15,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-11",42.24,42.26,42,42.01,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-12",42.37,42.55,42.31,42.37,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-13",42.39,42.47,41.97,42.06,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-14",41.82,42.3,41.74,42.14,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-15",42.13,42.13,41.95,42.1,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2019-02-19",41.93,42.51,41.93,42.41,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
